title,artist,genre,moods,release_date,version,download_url,cover_url
Go Home,Maduk,Drumstep,"Drumstep, Quirky, Hopeful, romantic, Weird, energetic",19 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/619/go-home-1586958164-D0nIHI9Eeh.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/619/100x100/go-home-1586958160-PLcROQJ8tX.jpg
Prism,"Summer Was Fun, Laura Brehm",Indie,"Indie Dance, Happy, relaxed, Dreamy, Glamorous, Hopeful",18 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/618/prism-1586958138-Z15yLssLLA.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/618/100x100/prism-1586958135-30NZD9QWzw.jpg
Slow Down,Barren Gates,Trap,"Trap, Dark, Gloomy, Angry, Restless",16 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/617/slow-down-1586958116-RuBvY0jtP0.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/617/100x100/slow-down-1586958112-v9egaziVya.jpg
Vision,Lost Sky,Bass,"Bass, Epic, Gloomy, Dark, Weird",12 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/616/vision-1586958106-w6RKce6Cz4.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/616/100x100/vision-1586958102-Zzy5Gf1SKm.jpg
Paranoia,"Whales, ggnoaa",Melodic Dubstep,"Melodic Dubstep, Suspense, scary, Restless, Dark",11 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/615/paranoia-1586958089-8VEf2NZ34m.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/615/100x100/paranoia-1586958086-RoOD4VYuTd.jpg
Revenger,Raiko,Dubstep,"Dubstep, Dark, Gloomy, Angry, Restless",9 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/614/revenger-1586958065-xJCvg1K8vv.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/614/100x100/1718028924_wI47Fz1NI0_Revenger.jpg
Chasing Ghosts (feat. Max Laundry),"Distrion, Max Landry",House,"House, Happy, Euphoric, energetic, Hopeful",5 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/613/chasing-ghosts-feat-max-laundry-1586958049-leuaxRrQ11.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/613/100x100/chasing-ghosts-feat-max-laundry-1586958046-5Brobj8Tfe.jpg
4U (feat. Jex Jones),"Convex, Jex",Electronic,"Electronic, Quirky, Weird, Laid Back, Peaceful, Happy, romantic",4 Apr 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/612/4u-feat-jex-jones-1586958021-nQDsrlRxrI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/612/100x100/4u-feat-jex-jones-1586958016-T2hOBLcC2T.jpg
Hollow (feat. Veronica Bravo),"Rob Gasser, Veronica Bravo",Dubstep,"Dubstep, Dark, Gloomy, Angry, Restless, energetic, Suspense, sad",2 Apr 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/611/hollow-feat-veronica-bravo-1586958004-iu3QJJ1hDt.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/611/100x100/hollow-feat-veronica-bravo-1586958000-mbTQ8FRWxh.jpg
Game Time,"Debris, Jonth",Future House,"Future House, Dark, Gloomy, Angry, Restless",29 Mar 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/610/game-time-1586957982-9QR1xRzMwr.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/610/100x100/1718028899_hYfhzadbEN_Game-Time.jpg
Khalas,Domastic,Future House,"Future House, Dark, Gloomy, Angry, Restless",27 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/609/khalas-1586957975-Uue7PTfNDv.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/609/100x100/khalas-1586957962-QG5ZJa5JDO.jpg
Turn It Up,Tobu,Trap,"Trap, Dark, Gloomy, Angry, Restless",22 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/608/turn-it-up-1586957948-CkpU9quN9T.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/608/100x100/turn-it-up-1586957935-wvOGSMhyMe.jpg
Shake You Off (feat. Shel Bee),"Maryn, Shel Bee",Indie,"Indie Dance, Happy, Hopeful, romantic, Glamorous, Epic",21 Mar 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/607/shake-you-off-feat-shel-bee-1586957909-k15sx0gRMe.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/607/100x100/shake-you-off-feat-shel-bee-1586957906-EBHBGgTSNn.jpg
Legends,Star Party,Trap,"Trap, Quirky, Weird, Laid Back, Peaceful, Happy",19 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/606/legends-1586957901-zmE3DwF1k3.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/606/100x100/legends-1586957898-mc6vwqmFBR.jpg
Flashes,NIVIRO,House,"House, energetic, Euphoric, Happy, Hopeful",15 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/605/flashes-1586957889-njVx7OJzm7.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/605/100x100/flashes-1586957886-iMWGImvw0Z.jpg
Konnichiwa,Ascence,Trap,"Trap, Quirky, Weird, Laid Back, Peaceful",14 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/604/konnichiwa-1586957877-qgQVWCU3ly.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/604/100x100/konnichiwa-1586957874-pzF89IFaLB.jpg
Ascend,"ElementD, Chris Linton",Hardstyle,"Hardstyle, energetic, Euphoric, Happy, Hopeful",12 Mar 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/603/ascend-1586957851-0xmJ9zP7ZS.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/603/100x100/ascend-1586957848-JKa1ojHknM.jpg
New World,KIRA,House,"House, Dreamy, Euphoric, relaxed, Peaceful, Hopeful, Happy",8 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/602/new-world-1586957841-vDajss274P.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/602/100x100/new-world-1586957839-bDYVFRsCjo.jpg
Modular,"Rob Gasser, Michael White, Miss Lina",House,"House, energetic, Restless, Weird, Dark",7 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/601/modular-1586957830-z7Wv2YEfCj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/601/100x100/modular-1586957826-QrmMNs8dNJ.jpg
Forgive Me,Futuristik,Future House,"Future House, energetic, Dark, Quirky, Weird, Suspense",5 Mar 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/600/forgive-me-1586957819-2DbYCUpBi3.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/600/100x100/forgive-me-1586957815-NXlNfaPvA1.jpg
